t,x,y,z
0,-0.18326,0.576657,0.122173
0.00946,-0.206472,0.529009,0.152716
0.018862,-0.202807,0.520457,0.188146
0.028461,-0.171042,0.597426,0.248011
0.037715,-0.116064,0.725708,0.315206
0.047121,-0.025656,0.831998,0.329867
0.056611,0.076969,0.845437,0.315206
0.065972,0.144164,0.791681,0.28222
0.07541,0.182038,0.76969,0.239459
0.084799,0.185703,0.746477,0.205251
0.094287,0.16249,0.61453,0.161268
0.103706,0.069639,0.411723,0.123395
0.113114,-0.057421,0.268781,0.13439
0.122541,-0.161268,0.188146,0.149051
0.131988,-0.240681,0.090408,0.144164
0.141391,-0.298102,0.020769,0.133169
0.150866,-0.333532,-0.014661,0.161268
0.160274,-0.348193,0.00733,0.223577
0.169691,-0.370184,0.150273,0.257785
0.179122,-0.340863,0.293215,0.227242
0.188739,-0.271224,0.410501,0.146608
0.197955,-0.175929,0.561996,0.030543
0.207384,-0.065973,0.6915,-0.081856
0.216836,0.047647,0.808786,-0.158825
0.226222,0.150273,0.86132,-0.189368
0.23566,0.228464,0.785573,-0.216246
0.245079,0.280998,0.640187,-0.232129
0.254513,0.301767,0.498466,-0.222355
0.263964,0.288328,0.383623,-0.228464
0.273394,0.277333,0.340863,-0.28222
0.282819,0.280998,0.370184,-0.351858
0.292262,0.263894,0.486249,-0.329867
0.301681,0.237016,0.620639,-0.216246
0.311115,0.211359,0.693943,-0.111177
0.320563,0.189368,0.695165,-0.061087
0.329964,0.172264,0.570548,-0.052534
0.339384,0.122173,0.288328,-0.015882
0.348831,-0.013439,0.021991,0.058643
0.358258,-0.201586,-0.114843,0.138056
0.367666,-0.320093,-0.232129,0.174707
0.377107,-0.323759,-0.392176,0.157603
0.386542,-0.212581,-0.627969,0.130725
0.395959,-0.019548,-0.858877,0.079412
0.405373,0.157603,-0.95295,0.032987
0.414802,0.273668,-0.966389,0.00733
0.424229,0.307876,-0.888198,0.034208
0.433691,0.255342,-0.715934,0.075747
0.443102,0.105069,-0.477697,0.102625
0.452534,-0.041539,-0.298102,0.095295
0.461976,-0.145386,-0.219911,0.068417
0.471382,-0.257785,-0.122173,0.032987
0.480797,-0.378736,0.046426,-0.012217
0.490534,-0.486249,0.172264,-0.067195
0.499667,-0.535118,0.216246,-0.095295
0.509121,-0.537561,0.252898,-0.092852
0.518519,-0.488692,0.305433,-0.069639
0.527941,-0.410501,0.389732,-0.021991
0.537382,-0.272446,0.420275,0.009774
0.546796,-0.076969,0.362854,0.006109
0.55623,0.163712,0.208916,-0.015882
0.565627,0.328645,0.061087,-0.079412
0.575059,0.38118,-0.085521,-0.129503
0.584528,0.349415,-0.208916,-0.09163
0.593919,0.266337,-0.326202,-0.023213
0.603385,0.166155,-0.44471,0.054978
0.612784,0.078191,-0.588874,0.116064
0.622182,0.024435,-0.748921,0.147829
0.63175,0.048869,-0.915076,0.210138
0.64105,0.13439,-0.968832,0.279776
0.650501,0.251676,-0.95295,0.309098
0.659911,0.377515,-0.941954,0.300546
0.66934,0.496023,-0.972497,0.280998
0.678755,0.5791,-0.970054,0.237016
0.688194,0.625526,-0.92485,0.146608
0.697652,0.603535,-0.812451,0.054978
0.707066,0.526566,-0.67073,-0.025656
0.716536,0.415388,-0.557109,-0.085521
0.725927,0.300546,-0.44471,-0.118508
0.735331,0.185703,-0.26145,-0.136834
0.744767,0.065973,-0.010996,-0.09163
0.75421,-0.015882,0.221133,0.047647
0.763666,-0.010996,0.278555,0.153938
0.773728,-0.062308,0.215025,0.131947
0.782462,-0.188146,0.179594,0.030543
0.792237,-0.367741,0.184481,-0.067195
0.801373,-0.587652,0.212581,-0.074526
0.810785,-0.786794,0.243124,-0.034208
0.820206,-0.890641,0.252898,0.003665
0.829643,-0.850324,0.245568,-0.020769
0.839073,-0.701273,0.240681,-0.101404
0.848515,-0.465479,0.251676,-0.146608
0.858002,-0.217468,0.346971,-0.142942
0.867427,-0.025656,0.445932,-0.100182
0.876812,0.114843,0.535118,-0.053756
0.886195,0.250455,0.665843,-0.081856
0.895605,0.312763,0.719599,-0.173486
0.905042,0.382402,0.772134,-0.263894
0.914497,0.45204,0.872316,-0.32498
0.923887,0.502131,1.045801,-0.326202
0.933322,0.572992,1.185079,-0.249233
0.94274,0.625526,1.254717,-0.19792
0.952402,0.681726,1.199739,-0.204029
0.961612,0.687834,0.998154,-0.26145
0.971046,0.551001,0.725708,-0.290772
0.98049,0.280998,0.496023,-0.235794
0.989939,-0.017104,0.44471,-0.11973
0.999324,-0.276111,0.50091,-0.020769
1.008742,-0.445932,0.503353,0.017104
1.01819,-0.510683,0.420275,-0.030543
1.027602,-0.454484,0.250455,-0.107512
1.03702,-0.252898,-0.012217,-0.172264
1.046449,-0.010996,-0.251676,-0.221133
1.055886,0.146608,-0.408058,-0.235794
1.065324,0.160047,-0.465479,-0.216246
1.074735,0.048869,-0.450819,-0.147829
1.084177,-0.109956,-0.489914,-0.059865
1.093685,-0.252898,-0.577879,0.002443
